cidade;denominacao_do_bem_tombado;endereco;tipo;ano_de_tombamento
Abadia dos Dourados;Conjunto Paisagístico da Praça da Matriz -- 0,74 ha;Avenida Benedito Teodoro da Silva;CP;2024
Abre Campo;Busto do Doutor Paschoal Grossi;Rua Santo Antônio nº 29 - Centro;BM;2017
Acaiaca;Conjunto Paisagístico Largo Professor Martins - 0,33 ha;Avenida Ezequiel Machado nºs 115,152,168,180 - Centro;CP;2007
Acaiaca;Imagem de São Gonçalo de Amarante;Igreja Matriz de São Gonçalo - Praça da Matriz s/nº;BM;2003
Acaiaca;Antiga Estrada de Ferro de Acaiaca - Atual Biblioteca Municipal;Rua Manoel Leandro Corrêa nºs 56,116 - Centro;BI;2003
Acaiaca;Prefeitura Municipal de Acaiaca;Praça Presidente Tancredo Neves nº 35;BI;2017
Açucena;Imagem Nossa Senhora da Piedade;Igreja Matriz de Nossa Senhora da Piedade;BM;2013
Aguanil;Conjunto Paisagístico Praça Nossa Senhora  Aparecida - 0,2344 ha;-20.899879183085176, -45.39616840581551;CP;2014
Águas Formosas;Conjunto Paisagístico da Cachoeira Salto da Zuada - 0,3102 ha;Fazenda Nicarágua - Distrito de Água Quente;CP;2015
Águas Formosas;Sino da Matriz de São Boaventura;Matriz de São Boaventura - Praça Mestra Diola s/nº;BM;2012
Aimorés;Prefeitura Municipal de Aimorés;Avenida Raul Soares nº 310 - Centro;BI;2023
Aimorés;Urna Funerária Indígena;Museu Histórico - Avenida Raul Soares nº 300 - Centro;BM;2023
Aimorés;Conjunto Natural e Paisagístico da Pedra da Lorena - 102 ha;Às margens da represa da Usina Hidrelétrica de Aimorés;CP;2012
Aiuruoca;Imagem de Nossa Senhora da Conceição;Igreja Matriz de Nossa Senhora da Conceição;BM;2022
Aiuruoca;Imagem de Nossa Senhora dos Passos;Igreja Matriz de Nossa Senhora da Conceição;BM;2012
Aiuruoca;Conjunto Paisagístico da Antiga Usina de Aiuruoca - 0,8 ha;Núcleo  Rural Capoeira Grande às margens do Córrego do Papagaio;CP;2009
Aiuruoca;Igreja Sant'Anna do Guapiara;Próxima às margens do Rio Aiuruoca - Povoado de Guapiara;BI;2015
Aiuruoca;Residência de Dantas Motta;Praça Monsenhor Nagel nº 34 - Centro;BI;2018
Aiuruoca;Acervo Documental do Memorial da Câmara Municipal de Aiuruoca Vereador José Benedito Corrêa;Rua Doutor Antônio Guimarães nº 62 - Centro.;BM;2022
Aiuruoca;Residência Doutor Julinho;Rua Felipe Senador nº 18 - Centro;BI;2007
Alagoa;Acervo Farmacêutico da família Alves de Sena - 231 unidades de objetos famacológicos, documentos textuais e fotograficos;Praça Manuel Mendes de Carvalho nº 108;BM;2012
Alagoa;Escola Estadual Coronel Porfírio Mendes Pinto;Rua Gumercindo Ferreira Pinto s/nº;BI;2004
Albertina;Conjunto Paisagístico do Lago Municipal - 3,75 ha;Rua Antônio Generoso nº 291;CP;2022
Além Paraíba;Mausoléu do Primeiro Comandante Geral da Polícia Militar de Minas Gerais: Coronel Francisco d'Assis Manso da Costa Reis;Cemitério Distrital - Distrito de Angustura;BI;2001
Além Paraíba;Jazigo Perpétuo do Capitão Vicente Mendes Ferreira;Cemitério do Santíssimo - Jazigo nº 45 - Setor 8 - Bairro São José;BI;2001
Além Paraíba;Coreto da Praça São José;Praça Coronel Breves - Bairro São José;BI;2001
Além Paraíba;Largo da Matriz e área delimitada pelas ruas Alfredo Vilela e Clóvis Salgado  - Extensão não informada;Não informado;CP;2001
Além Paraíba;Antiga Prefeitura Municipal;Praça Coronel Breves nº 51 - Bairro São José;BI;2001
Além Paraíba;Prédio do INAMPS - Atual Secretaria Municipal de Cultura, Esporte, Lazer e Turismo e Casa de Cultura;Praça Presidente Vargas nº 122;BI;2008
Além Paraíba;Prédios da RFFSA - Conjunto Arquitetônico Travessa da RFFSA: rotunda, escritório e Oficina Central;Rua Doutor Sobral Pinto – Vila Laroca;CP;2001
Além Paraíba;Conselho Distrital da Vila de Angustura;Rua Getúlio Vargas - Distrito de Angustura;BI;2001
Alfenas;Escola Estadual Coronel José Bento;Praça Doutor Emílio da Silveira, nº 24;BI;2002
Alfenas;Prefeitura Municipal;Praça Fausto Monteiro, nº 54;BI;2002
Alfenas;Conjunto Arquitetônico Urbanístico e Paisagístico da Praça Getúlio Vargas - 0,1985 ha;Praça Getúlio Vargas;CP;2004
Alfenas;Lote de Documentos do sécculo XX;Câmara Municipal de Alfenas - Rua Juscelino Barbosa nº 857 - Centro;BM;2004
Alfenas;Lote de Documentos do século XIX;Câmara Municipal de Alfenas - Rua Juscelino Barbosa nº 857 - Centro;BM;2003
Alfredo Vasconcelos;Imagem de Nossa Senhora do Rosário;Acervo da Matriz de Nossa Senhora do Rosário - Praça Nossa Senhora. do Rosário s/nº - Centro;BM;2008
Alfredo Vasconcelos;Chaminé do Curtume;Avenida Augustinho Bianchetti,s/nº, Centro;BI;2024
Alfredo Vasconcelos;Conjunto Paisagístico do Pontilhão do Imperador Dom Pedro II - 2,21 ha;Avenida Agostinho Bianchetti nº 888/ 920;CP;2023
Alfredo Vasconcelos;Estação Ferroviária - Atual Casa de Cultura - Casa da Cultura Carmelita Bianchetti Araújo - Estação Ferroviária Alfredo Vasconcelos;Praça dos Bandeirantes, nº 20;BI;2008
Alpinópolis;Imagem de São Sebastião;Igreja Matriz de São Sebastião - Praça Osvaldo Américo dos Reis s/nº - Centro;BM;2007
Alpinópolis;Coreto;Praça Osvaldo Américo dos Reis s/ nº - Centro;BI;2009
Alterosa;Arquivo Filmográfico de Alterosa - originais e cópias;Cópias:  Praça Getúlio Vargas nº 310 - Centro.   Originais: Cinemateca Brasileira - Rua Capitão Macedo nº 580 - Vila Clementina - São Paulo - SP.;BM;2007
Alterosa;Praça Getúlio Vargas - 0,855 ha;Centro;CP;2005
Alterosa;Escola Estadual Deputado Jales Machado;Praça Benedito Valadares nº 316 - Centro;BI;2007
Alterosa;Antiga Residência do Doutor Jorge Simão;Praça Getúliio Vargas nº 516 - Centro;BI;2007
Alterosa;Prefeitura Municipal;Praça Getúlio Vargas nº 310 - Centro;BI;2003
Alterosa;Residência do ex-prefeito Maurício São Terra;Praça Getúlio Vargas nº 406 - Centro;BI;2007
Alterosa;Antiga Residência do Senhor Lésio Siqueira Terra;Praça Getúlio Vargas nº 446 - Centro;BI;2007
Alterosa;Igreja Matriz do Divino Espirito Santo;Praça Jaime Ribeiro da Silva s/nº - Centro - Distrito do Divino Espírito Santo- Cavaco;BI;2007
Alto Jequitibá;Conjunto Paisagístico Praça Padre Júlio Maria Lombaerde - 0,183 ha;Padre Julio Maria s/nº - Zona Rural;CP;2013
Alto Jequitibá;Carro de Boi da Fazenda Werner - Antiga Fazenda Vista Alegre;Fazenda Vista Alegre situada no Córrego do Werner - Zona Rural;BM;2016
Alto Jequitibá;Fachada da Antiga Estação Ferroviária Presidente Soares;Praça Aristóteles Faria s/nº - Centro;BI;2008
Alto Rio Doce;Imagem de São José de Botas;Praça Cônego Pinto nº 198 - Centro;BM;2012
Alto Rio Doce;Capela Nossa Senhora do Rosário;Rua Doutor Joaquim Gonçalves de Menezes s/nº - Centro;BI;2009
Alvinópolis;Cemitério Nosso Senhor do Bonfim - 0,8659 ha;Bairro Parte Alta s/nº- Sede;CP;2009
Alvinópolis;Imagem de Nossa Senhora do Rosário;Casa Paroquial da Igreja Matriz de Nossa Senhora do Rosário - Travessa Francisco Antônio Martins, nº 77 - Centro;BM;2009
Alvinópolis;Núcleo Histórico de Alvinópolis - 8,75 ha - 36 unidades;Cidade Alta - Distrito Sede;NH;2007
Alvinópolis;Fazenda da Cata Preta;Distrito  Rural de Cata-Preta - Estrada que liga a Sede ao Distrito de Fonseca;BI;2009
Alvorada de Minas;Igreja Matriz de Santo Antônio;Avenida Padre Paraíso s/nº - Centro;BI;2013
Alvorada de Minas;Imagem de Santo Antônio;Igreja Matriz de Santo Antônio - Avenida Padre Paraíso s/nº;BM;2013
Amparo da Serra;Coreto da Praça João Pinheiro;Praça João Pinheiro  s/nº - Centro;BI;2025
Andradas;Imagem de Nossa Senhora do Campestrinho;Altar da Igreja do Distrito do Campestrinho;BM;2022
Andradas;Adega A. Izidro Gonsalves S.A. – Companhia Piagentini de Bebidas e Alimentos;Avenida Prefeito Antônio Gonçalves nº 1.030 – Bairro Sóvis;BI;2020
Andradas;Sítio Arqueológico Toca do Morcego - 0,87 ha;Bairro Macuco - Zona  Rural;CP;2024
Andradas;Estação de Enologia de Andradas – Campo Experimental;Parque Municipal Ricardo Sasseron, Avenida Procópio Stella, nº1781;BI;2022
Andradas;Imagem de São Sebastião;Igreja Matriz de São Sebastião - Praça Luiz Venturelle  s/nº-Centro;BM;2008
Andradas;Mercado Municipal de Andradas;Praça Coronel Antônio de Oliveira,s/nº;BI;2023
Andradas;Escola Municipal José Bonifácio;Rua Major Bonifácio, nº190 - Centro;BI;2023
Andradas;Casa da Memória;Rua Major Bonifácio, nº 82;BI;2023
Andradas;Conjunto Paisagístico da Serra do Caracol - 1348 ha;Br 146, s/nº - Serra do Caracol - Zona Rural;CP;2022
Andradas;Piano Dona Albertina;Teatro Municipal José Stivanin - Praca Coronel Antônio Augusto Oliveira -s/nº;BM;2022
Andradas;Complexo de Sítios Arqueológicos Lagoa Dourada - 86,26 ha;"21°57'54.65""S    46°36'7.99""O";CP;2024
Andradas;Conjunto Paisagístico da Serra do Pau D´Alho - 1,23 ha;;CP;2024
Andrelândia;Sítio Arqueológico da Serra do Santo Antônio - 12 ha;21º, 47’ 25’’ S e 44º, 19’, 34’’ W;CP;2002
Andrelândia;Cofre da Prefeitura;Avenida Getúlio Vargas  nº 208, atual Avenida Nossa  Senhora do Porto da Eterna Salvação;BM;2006
Andrelândia;Prefeitura Municipal;Avenida Getúlio Vargas  s/nº, atual Avenida Nossa Senhora do Porto da Eterna Salvação, nº 208;BI;2002
Andrelândia;Sobrado do Visconde Arantes;Avenida Nossa Senhora do Porto da Eterna Salvação nº 261;BI;2007
Andrelândia;Casa do Senhor Gentil Chaves Campos;Avenida Getúlio Vargas nº 389, atual Avenida Nossa Senhora do Porto da Eterna Salvação;BI;2006
Andrelândia;Sobrado das Laranjeiras;Avenida Getúlio Vargas, nº 278, atual Avenida Nossa  Senhora do Porto da Eterna Salvação;BI;2007
Andrelândia;Casa da Dona Odete Salgado;Avenida Nossa Senhora do Porto da Eterna Salvação nº 228;BI;2009
Andrelândia;Xale da Antiga Baronesa do Cajuru;Avenida Nossa Senhora do Porto da Eterna Salvação nº 358;BM;2009
Andrelândia;Casa Dona Ninita;Avenida Nossa Senhora do Porto da Eterna Salvação, n° 434;BI;2007
Andrelândia;Casa das Tias - Casa de Dona Nilzinha;Avenida Nossa Senhora do Porto da Eterna Sauvação, nº 358;BI;2010
Andrelândia;Edificação - Fachada frontal e telhado do volume principal;Avenida.Nossa  Senhora do Porto da Eterna Sauvação nº 201;BI;2010
Andrelândia;Torneira de águas públicas - chafariz e sua base de pedra;Praça Belfort de Carvalho s/nº;BI;2007
Andrelândia;Estação Ferroviária;Praça da Estação s/nº;BI;2010
Andrelândia;Imagem do Cristo Redentor;Praça Diógenes Ribeiro Salgado s/nº;BI;2011
Andrelândia;Antigo Cine Glória;Praça Visconde de Arantes  nº 60;BI;2013
